"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"bulletin:13A","The new director is unsatisfied with the level of scrutiny afforded to foreigners.

From today forward, all foreign entrants must present a recent IDENTITY SUPPLEMENT listing weight, height, and appearance.

The rulebook DOCUMENTS chapter has been updated.","nowy dyrektor jest niezadowolony z niedokładnej kontroli cudzoziemców.

Od dzisiejszego dnia wszyscy petenci spoza kraju muszą przedstawić aktualną KARTĘ INFORMACYJNĄ, na której widnieje wzrost, waga oraz cechy wyglądu zewnętrznego.

Uzupełniono rozdział księgi zasad dotyczący DOKUMENTÓW."
"bulletin:14A","The Ministry of Justice has requested our support.

Daily bulletins will now contain a listing of the top 3 most wanted international criminals.

Check faces against entrants and detain suspects immediately.[PAGESNOTE]","Ministerstwo Sprawiedliwości domaga się naszego wsparcia.

Codzienny biuletyn będzie od teraz zawierał opisy trzech najbardziej poszukiwanych na świecie przestępców.

Porównujcie ich zdjęcia z twarzami petentów i niezwłocznie zatrzymujcie podejrzanych.[PAGESNOTE]"
"bulletin:16A","The Ministry of Justice has appropriated the outer guard detail. 

You are now responsible for controlling trespasser activity.

The provided key can be used to unlock the tranquilizer gun once an alarm has been raised.

Continued...[PAGESNOTE]","Ministerstwo Sprawiedliwości przejęło zadania straży pogranicza.

Jesteście teraz odpowiedzialni za kontrolę nielegalnych przekroczeń granicy.

Dostarczony klucz zapewni wam dostęp do broni obezwładniającej, kiedy tylko podniesiony zostanie alarm.

Dalej...[PAGESNOTE]"
"bulletin:16B","__________________________
COMPENSATION

You will receive a bonus for stopping any trespasser. A smaller bonus is provided for firing on, but missing, your target.

__________________________
WEAPONS PROTOCOL

Review instructional diagram on following page.","__________________________
WYNAGRODZENIE

Otrzymacie nagrodę za każde udaremnienie nielegalnego przekroczenia granicy. W przypadku chybienia celu zostanie wypłacona mniejsza kwota.

__________________________
PROTOKÓŁ UŻYCIA BRONI

Przyjrzyjcie się diagramowi na następnej stronie."
"bulletin:18A","Unfavorable international press has affected immigration protocol.

All denials must be accompanied by a REASON FOR DENIAL stamp.

A new computer inking system has been installed. Interrogate discrepancies to prime the REASON FOR DENIAL stamp.

Continued...","wpisy w zachodniej prasie wymogły zmianę sposobu obsługi petentów.

Każda odmowa przyznania wizy musi być opatrzona stemplem z POWODEM ODMOWY.

Zainstalowano komputerowy system dystrybucji tuszu. Przesłuchajcie petenta, a system automatycznie przygotuje stempel POWODU ODMOWY.

Dalej..."
"bulletin:18B","__________________________
DENIAL PROTOCOL

REASON FOR DENIAL stamp is activated on first interrogation.

When denying entry, stamp both DENIED and REASON FOR DENIAL on passport.

If applicant clarifies discrepancies sufficiently, approval is authorized even while REASON FOR DENIAL stamp remains available.","__________________________
PROTOKÓŁ ODMOWY WYDANIA WIZY

Stempel POWODU ODMOWY jest aktywowany podczas pierwszego przesłuchania.

Odmawiając wydania wizy, należy przybić w paszporcie zarówno stempel ODMOWY, jak i POWODU ODMOWY.

Jeśli petent zdoła odpowiednio wyjaśnić niezgodności, wiza może zostać przyznana pomimo uprzedniego przygotowania stempla POWODU ODMOWY."
"bulletin:19A","Impor rejects all imported goods from Arstotzka.

Under request from the Ministry of Trade, the Ministry of Admission will react to this violation.

Deny all travelers from Impor.","Impor zarządził blokadę wszystkich towarów importowanych z Arstoczki.

Ministerstwo Przepływu Ludności postanowiło zareagować na tę sytuację na prośbę Ministerstwa Handlu.

Nie przepuszczajcie żadnych podróżnych z Imporu."
"bulletin:20A","Impor has relented on their faulty policy.

Imporians are now permitted entry.

The divisional authority of East Grestin operations will visit again today.","Impor wycofał się ze swojej błędnej polityki.

Obywatele Imporu mogą teraz przekraczać naszą granicę.

Szef wydziału operacyjnego ze Wschodniego Grestin znów złoży wam wizytę."
"bulletin:21A","A special program for political asylum has been established.

Those seeking asylum must carry a valid GRANT OF ASYLUM.

Entrants with such a grant do not require an ENTRY PERMIT or an ID SUPPLEMENT.","Wprowadzono specjalny program azylu politycznego.

Poszukujący azylu muszą mieć przy sobie ważne PRZYZNANIE AZYLU.

Petenci dysponujący decyzją nie potrzebują ZGODY NA WJAZD, ani KARTY INFORMACYJNEJ."
"bulletin:23A","Your position is important and your responsibilities are broad.

Follow all protocols strictly.","Wasze stanowisko jest ważne, a odpowiedzialność szeroka.

Przestrzegajcie ściśle wszystkich protokołów."
"bulletin:24A","Recent events have cast suspicion on the activities of Arstotzkan citizens in the ALTAN district.

The Ministry of Information has requested our cooperation.

A special drawer for confiscating documents has been installed in your booth.

Continued...","Niedawne wydarzenia poddały w wątpliwość lojalność naszych obywateli zamieszkałych w DYSTRYKCIE AŁTAŃSKIM.

Ministerstwo Informacji zażądało waszej współpracy.

Na waszym stanowisku zainstalowano specjalną szufladę na skonfiskowane dokumenty.

Dalej..."
"bulletin:24B","The rulebook has been updated with information regarding confiscation policy.

Confiscate all Arstotzkan passports from residents living in ALTAN district.

Travelers may still be granted entry if passport is confiscated and no other rules are violated.

PASSPORT SEIZURE slips will be issued to allow entry or denial without a passport.","Księga zasad została uzupełniona o informacje dotyczące polityki konfiskat.

Konfiskujcie wszystkie arstockie paszporty należące do mieszkańców dystryktu AŁTAN.

Petenci ze skonfiskowanym paszportem wciąż mogą przekroczyć granicę, o ile nie złamali żadnych zasad.

Pokwitowania KONFISKATY PASZPORTU umożliwią przyznanie bądź odmowę wizy mimo braku paszportu."
"bulletin:25A","United Federation citizens present a risk of spreading infectious disease.

Deny all entrants from United Federation.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Obywatele Zjednoczonej Federacji mogą przenosić zakaźną chorobę.

Nie przepuszczajcie żadnych obywateli Zjednoczonej Federacji.

W dalszym ciągu konfiskujcie arstockie paszporty należące do mieszkańców dystryktu AŁTAN."
"bulletin:26A","The risk of disease is too great. A new protocol has been instituted.

All entrants must carry a valid CERTIFICATE OF VACCINATION with an up-to-date POLIO vaccine.

This requirement extends to natives, foreigners, diplomats, and asylum seekers.

Continued...","Ryzyko epidemii jest zbyt duże. Wprowadzono nowy protokół.

Wszyscy petenci muszą posiadać ważną KARTĘ SZCZEPIEŃ z wyszczególnionym ważnym szczepieniem przeciw POLIO.

To wymaganie dotyczy naszych obywateli, cudzoziemców, dyplomatów i azylantów.

Dalej..."
"bulletin:26B","United Federation citizens are permitted entry with such certification.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Zezwala się na przekroczenie granicy obywatelom Zjednoczonej Federacji pod warunkiem posiadania zaświadczenia.

W dalszym ciągu konfiskujcie arstockie paszporty należące do mieszkańców dystryktu AŁTAN."
"bulletin:27A","In order to improve efficiency, the ENTRY PERMIT and ID SUPPLEMENT have been consolidated into a single ACCESS PERMIT.

Foreigners are now required to present a valid ACCESS PERMIT.

Continued...","W celu podniesienia wydajności obsługi ZGODA NA WJAZD oraz KARTA INFORMACYJNA zostały zastąpione przez pojedynczą ZGODĘ NA WSTĘP.

Cudzoziemcy muszą teraz przedstawić ważną ZGODĘ NA WSTĘP.

Dalej..."
"bulletin:27B","Yesterday's coordinated attack has prompted an emergency meeting. 

An important Kolechian negotiator will arrive today to discuss issues at this checkpoint.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Wczorajszy skoordynowany atak sprawił, że zwołano spotkanie kryzysowe.

Przybędzie dziś ważny kolechiański negocjator, by przedyskutować problemy na granicy.

W dalszym ciągu konfiskujcie arstockie paszporty należące do mieszkańców AŁTANU."
"bulletin:28A","In response to continued attacks, the Ministry of Information is expanding the passport confiscation program.

Confiscate all Arstotzkan passports from native entrants.

There are no exceptions.

Do not confiscate foreign passports.","w odpowiedzi na ponawiane ataki Ministerstwo Informacji postanowiło rozszerzyć program konfiskaty paszportów.

Konfiskujcie wszystkie paszporty rdzennych Arstoczkan.

Nie ma wyjątków.

Nie konfiskujcie zagranicznych paszportów."
"bulletin:29A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] Wszyscy pracownicy rządowi będą obiektem dogłębnej kontroli. Kontakty z nieodpowiednimi środowiskami będą podstawą natychmiastowego aresztowania.

Waszą kontrolę wyznaczono na 24 grudnia.

NIE OPUSZCZAJCIE WASZEGO REGIONU.

Dalej..."
"bulletin:29B","Continue to confiscate all Arstotzkan passports from native entrants.","W dalszym ciągu konfiskujcie arstockie paszporty należące do rdzennych mieszkańców naszego kraju."
"bulletin:30A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] Wszyscy pracownicy rządowi będą obiektem dogłębnej kontroli. Kontakty z nieodpowiednimi środowiskami będą podstawą natychmiastowego aresztowania.

Waszą kontrolę wyznaczono na 24 grudnia.

NIE OPUSZCZAJCIE WASZEGO REGIONU.

Dalej..."
"bulletin:30B","Continue to confiscate all Arstotzkan passports from native entrants.","W dalszym ciągu konfiskujcie arstockie paszporty należące do rdzennych mieszkańców naszego kraju."
"bulletin:31A","The Ministry of Admission is involved in discussions regarding the closure of this checkpoint.

Until a decision is made, maintain your duties as ordered.

Continued...","Ministerstwo Przepływu Ludności jest zaangażowane w rozmowy dotyczące zamknięcia przejścia granicznego w Grestin.

W oczekiwaniu na decyzję, wykonujcie swoje obowiązki.

Dalej..."
"bulletin:31B","You are scheduled for an information audit tomorrow morning.

DO NOT LEAVE YOUR DESIGNATED REGION.

Continue to confiscate all Arstotzkan passports from native entrants.","Wasza kontrola wyznaczona jest na jutrzejszy poranek.

NIE OPUSZCZAJCIE WASZEGO REGIONU.

W dalszym ciągu konfiskujcie arstockie paszporty należące do rdzennych mieszkańców naszego kraju."
"facts","$paper: Invalid $fact","$paper: Brak zgodności: $fact"
"facts","Missing $paper","Brak: $paper"
"facts","$0 DISTRICT","DYSTRYKT $0"
"facts","Presence","Obecność"
"facts","Sufficience","Dostateczność"
"facts","Excellence","Doskonałość"
"facts","Obristan","Obristan"
"facts","Antegria","Antegria"
"facts","Republia","Republia"
"facts","UnitedFed","Federacja"
"facts","Impor","Impor"
"facts","Kolechia","Kolechia"
"facts","Arstotzka","Arstoczka"
"facts","Skal","Skal"
"facts","Lorndaz","Lorndaz"
"facts","Mergerous","Mergerous"
"facts","St. Marmero","St. Marmero"
"facts","Glorian","Glorian"
"facts","Outer Grouse","Outer Grouse"
"facts","True Glorian","True Glorian"
"facts","Lesrenadi","Lesrenadi"
"facts","Bostan","Bostan"
"facts","Great Rapid","Great Rapid"
"facts","Shingleton","Shingleton"
"facts","Korista City","Korista City"
"facts","Enkyo","Enkyo"
"facts","Haihan","Haihan"
"facts","Tsunkeido","Tsunkeido"
"facts","Yurko City","Yurko City"
"facts","Vedor","Vedor"
"facts","West Grestin","Zach. Grestin"
"facts","Orvech Vonor","Orvech Vonor"
"facts","East Grestin","Wsch. Grestin"
"facts","Paradizna","Paradizna"
"facts","Passport","Paszport"
"facts","Entry Ticket","Kwit wjazdu"
"facts","Entry Permit","Zgoda na wjazd"
"facts","Work Pass","Zezwolenie na pracę"
"facts","Id Card","Dowód osobisty"
"facts","Id Supplement","Karta informacyjna"
"facts","Access Permit","Zgoda na wstęp"
"facts","Diplomatic Auth","Pełnomocnictwo dypl."
"facts","Asylum Grant","Decyzja o przyznaniu azylu"
"facts","Vaccine Cert","Karta szczepień"
"facts","Identity Record","Odpis z kartoteki"
"facts","Fingerprints","Odciski palców"
"facts","Name","Nazwisko"
"facts","Id Number","Numer dokumentu"
"facts","Expiration Date","Data ważności"
"facts","Issuing City","Miejsce wydania"
"facts","Birth Date","Data urodzenia"
"facts","Alias","Pseudonim"
"facts","Height","Wzrost"
"facts","Weight","Waga"
"facts","Description","Opis"
"facts","Thumbprint","Odcisk kciuka"
"facts","Date","Data"
"facts","Purpose","Cel wizyty"
"facts","Duration","Długość pobytu"
"facts","Face","Twarz"
"facts","District","Dystrykt"
"facts","Gender","Płeć"
"facts","Work End Date","Koniec kontraktu"
"facts","Altan","Ałtan"
"facts","Vescillo","Vescillo"
"facts","Burnton","Burnton"
"facts","Octovalis","Octovalis"
"facts","Gennistora","Gennistora"
"facts","Lendiforma","Lendiforma"
"facts","Wozenfield","Wozenfield"
"facts","Fardesto","Fardesto"
"facts","DENTISTRY","STOMATOLOGIA"
"facts","HEALTH-CARE","ZDROWIE"
"facts","GENERAL-LABOR","ROBOTNIK"
"facts","ENGINEERING","INŻYNIERIA"
"facts","SPORTS","SPORT"
"facts","ARCHITECTURE","ARCHITEKTURA"
"facts","FOOD-SERVICE","CATERING"
"facts","AVIATION","LOTNICTWO"
"facts","ACCOUNTING","FINANSE"
"facts","FISHING","RYBACTWO"
"facts","DRAFTING","PROJEKTOWANIE"
"facts","RESEARCH","NAUKA"
"facts","FINE-ARTS","MALARSTWO"
"facts","AGRICULTURE","ROLNICTWO"
"facts","MANUFACTURING","PRODUKCJA"
"facts","CONSTRUCTION","BUDOWNICTWO"
"facts","SURVEYING","GEODEZJA"
"facts","STATISTICS","STATYSTYKA"
"facts","POLIO","POLIO"
"facts","HPV","HPV"
"facts","COWPOX","KROWIANKA"
"facts","TETANUS","TĘŻEC"
"facts","YEL.FEV.","FEBRA"
"facts","CHOLERA","CHOLERA"
"facts","RUBELLA","RÓŻYCZKA"
"facts","HEP-B","WZW-B"
"facts","MEASLES","ODRA"
"facts","TUBERC.","GRUŹLICA"
"facts","2 DAYS","2 DNI"
"facts","14 DAYS","14 DNI"
"facts","1 MONTH","1 MIESIĄC"
"facts","2 MONTHS","2 MIESIĄCE"
"facts","3 MONTHS","3 MIESIĄCE"
"facts","6 MONTHS","6 MIESIĘCY"
"facts","1 YEAR","1 ROK"
"facts","FOREVER","NA ZAWSZE"
"facts","visit","odwiedziny"
"facts","transit","tranzyt"
"facts","work","praca"
"facts","immigrate","imigracja"
"facts","Possible Smuggler Admitted","Wpuszczono potencjalnego przemytnika"
"facts","Missing documents","Brakujące dokumenty"
"facts","Wanted criminal admitted","Wpuszczono poszukiwanego przestępcę"
"facts","Incorrect purpose response","Zła odpowiedź na pytanie o cel wizyty"
"facts","Incorrect visit duration response","Zła odpowiedź na pytanie o długość pobytu"
"facts","Passport: Non-matching photo","Fotografia w paszporcie niezgodna z wyglądem"
"facts","Forged Entry Permit","Sfałszowana zgoda na wjazd"
"facts","Forged Work Pass","Sfałszowane zezwolenie na pracę"
"facts","Id Card: Non-matching photo","Dowód os.: fotografia niezgodna z wyglądem"
"facts","Forged Access Permit","Sfałszowana zgoda na wstęp"
"facts","No Diplomatic Access to Arstotzka","Brak pełnomocnictw dyplomatycznych na terytorium Arstoczki"
"facts","Forged Diplomatic Auth","Podrobione pełnomocnictwo dyplomatyczne"
"facts","Forged Asylum Grant Seal","Podrobiona pieczęć na decyzji o przyznaniu azylu"
"facts","Necessary vaccine expired","Wymagane szczepienie przeterminowane"
"facts","Missing necessary vaccine","Brak wymaganego szczepienia"
"facts","Name does not match record","Imię i nazwisko niezgodne z bazą danych"
"facts","Alias does not match record","Pseudonim niezgodny z bazą danych"
"facts","Fingerprints do not match record","Odciski palców niezgodne z bazą danych"
"facts","Cobrastan is not a real country","Nie ma takiego kraju jak Kobrastan"
"facts","No entry from Antegria","Nie wpuszczamy Antegrian"
"facts","No entry from Arstotzka","Nie wpuszczamy obywateli Arstoczki"
"facts","No entry from Republia","Nie wpuszczamy Republian"
"facts","No entry from United Fed","Nie wpuszczamy obywateli Federacji"
"facts","No entry from Obristan","Nie wpuszczamy Obristańczyków"
"facts","No entry from Impor","Nie wpuszczamy Imporian"
"facts","No entry from Kolechia","Nie wpuszczamy Kolechian"
"facts","Possible Terrorist Admitted","Wpuszczono potencjalnego terrorystę"
"facts","Entrant Holds Conflicting Passports","Petent posiada wykluczające się paszporty"
"facts","Entrant must have a passport","Petenci muszą mieć paszport"
"facts","Foreigners require an entry permit","Cudzoziemcy muszą mieć zgodę na wjazd"
"facts","Foreigners require an entry ticket","Cudzoziemcy muszą mieć kwit wjazdu"
"facts","All documents must be current","Wszystkie dokumenty muszą być aktualne"
"facts","Workers must have a work pass","Pracownicy muszą mieć zezwolenie"
"facts","Citizens must have an id card","Obywatele muszą mieć dowód osobisty"
"facts","Foreigners require an id supplement","Cudzoziemcy muszą mieć kartę ident."
"facts","Arstotzkan citizens only","Wpuszczamy tylko obywateli Arstoczki"
"facts","No entry from United Federation","Nie wpuszczamy obywateli Federacji"
"facts","No weapons or contraband","Zakaz posiadania broni i kontrabandy"
"facts","All Kolechians must be searched","Rewidujemy wszystkich Kolechian"
"facts","Diplomats require authorization","Dyplomaci muszą mieć pełnomocnictwo"
"facts","Entrant must have polio vaccine cert","Petenci muszą być zaszczepieni na polio"
"facts","Asylum seekers must have a grant","Uchodźcy muszą udokumentować azyl"
"facts","Foreigners require an access permit","Cudzoziemcy muszą mieć zgodę na wstęp"
"facts","CONFISCATE ARSTOTZKAN PASSPORTS BELONGING TO ALTAN RESIDENTS.","SKONFISKUJCIE WSZYSTKIE ARSTOCKIE PASZPORTY MIESZKAŃCÓW AŁTANU."
"facts","CONFISCATE ALL ARSTOTZKAN PASSPORTS. NO EXCEPTIONS.","SKONFISKUJCIE WSZYSTKIE ARSTOCKIE PASZPORTY. BEZ WYJĄTKÓW."
"facts","Passport not confiscated","Paszport nie został skonfiskowany"
"paper:SecondPassport","West Grestin","Zach.Grestin"
"paper:Rules","Basic Rules","Podstawowe zasady"
"paper:Rules","Regional Map","Mapa regionów"
"paper:Rules","Booth Info","Stanowisko pracy"
"paper:Rules","Documents","Dokumenty"
"paper:Rules","Confiscation","Konfiskata"
"paper:Rules","Obristan","Obristan"
"paper:Rules","Antegria","Antegria"
"paper:Rules","Republia","Republia"
"paper:Rules","United","Zjednoczona"
"paper:Rules","Federation","Federacja"
"paper:Rules","Impor","Impor"
"paper:Rules","Kolechia","Kolechia"
"paper:Rules","Arstotzka","Arstoczka"
"paper:Rules","ANTEGRIA","ANTEGRIA"
"paper:Rules","ARSTOTZKA","ARSTOCZKA"
"paper:Rules","IMPOR","IMPOR"
"paper:Rules","KOLECHIA","KOLECHIA"
"paper:Rules","OBRISTAN","OBRISTAN"
"paper:Rules","REPUBLIA","REPUBLIA"
"paper:Rules","UNITED FED.","ZJEDNOCZ. FED."
"paper:Rules","Id Card (Native)","Dowód osobisty"
"paper:Rules","Entry Permit","Zgoda na wjazd"
"paper:Rules","Id Supplement","Karta informacyjna"
"paper:Rules","Access Permit","Zgoda na wstęp"
"paper:Rules","Work Pass","Zezwolenie na pracę"
"paper:Rules","Diplomatic Auth.","Pełnomocnictwo dypl."
"paper:Rules","Grant of Asylum","Przyznanie azylu"
"paper:Rules","Vaccine Cert.","Karta szczepień"
"intro","Congratulations.","Gratulacje."
"intro","The October labor lottery is complete. Your name was pulled.","Zostaliście wylosowani w październikowej loterii zakładowej."
"intro","For immediate placement, report to the Ministry of Admission at Grestin Border Checkpoint.","W celu niezwłocznego obsadzenia stanowiska zgłoście się do Ministerstwa Przepływu Ludności przy Punkcie Odprawy
Granicznej w Grestin."
"intro","An apartment will be provided for you and your family in East Grestin. Expect a Class-8 dwelling.","Wasza rodzina zostanie zakwaterowana razem z wami we Wschodnim Grestin. Spodziewajcie się lokalu kategorii C8."
"intro","Glory to Arstotzka.","Niech żyje Arstoczka!"
"end:in-debt","Arstotzka has zero tolerance for delinquency.","W Arstoczce nie ma miejsca dla przestępców."
"end:in-debt","Your family will be sent back to their village.","Wasza rodzina zostanie odesłana z powrotem do waszej wsi."
"end:in-debt","You are under arrest until your debts are repaid.","Zostajecie aresztowani do czasu spłaty długów."
"end:in-debt","A replacement inspector will be found easily.","Z łatwością znajdziemy zastępstwo na wasze miejsce."
"end:in-debt","Glory to Arstotzka.","Niech żyje Arstoczka!"
"end:family-dead","Your entire family is gone.","Cała wasza rodzina nie żyje."
"end:family-dead","The Ministry Of Labor focuses on Arstotzka's future growth.","Ministerstwo Pracy skupia się<br>na przyszłym rozwoju Arstoczki."
"end:family-dead","Workers are expected to support large healthy families.","Pracownicy są obowiązani utrzymywać<br>duże i zdrowe rodziny."
"end:family-dead","Your position will be filled by someone more appropriate.","Wasze stanowisko zajmie bardziej odpowiednia osoba."
"end:family-dead","Glory to Arstotzka.","Niech żyje Arstoczka!"
"end:turned-over-ezic-docs","You are under arrest for associating with suspicious groups.","Zostaliście aresztowani z powodu kontaktów<br>z niewłaściwymi środowiskami."
"end:turned-over-ezic-docs","The Ministry of Information will perform a full audit of your recent activities.","Ministerstwo Informacji skontroluje<br>wasze ostatnie działania."
"end:turned-over-ezic-docs","Glory to Arstotzka.","Niech żyje Arstoczka!"
"end:caught-with-ezic-money","The Ministry of Income has discovered an anomaly in your earnings.","Ministerstwo Dochodu wykryło<br>nieprawidłowości w waszych zarobkach."
"end:caught-with-ezic-money","You are under arrest pending a full audit of your recent activities.","Zostajecie aresztowani na czas<br>kontroli waszych ostatnich poczynań."
"end:caught-with-ezic-money","Your family will likewise be held for questioning.","Ponadto wasza rodzina zostanie przesłuchana."
"end:caught-with-ezic-money","The border will remain open under a replacement inspector.","Służbę na granicy przejmie inspektor zastępczy."
"end:caught-with-ezic-money","Glory to Arstotzka.","Niech żyje Arstoczka!"
"end:killed-innocent","You are under arrest for the murder of an innocent.","Zostajecie aresztowani pod zarzutem<br>zabójstwa niewinnej osoby."
"end:killed-innocent","The penalty is death.","Karą jest śmierć."
"end:killed-innocent","Your family will be questioned about their involvement.","Wasza rodzina będzie przesłuchana na okoliczność zaangażowania w przestępstwo."
"end:killed-innocent","The border will remain open under a replacement inspector.","Służbę na granicy przejmie inspektor zastępczy."
"end:killed-innocent","Glory to Arstotzka.","Niech żyje Arstoczka!"
"end:tranqed-innocent","You are under arrest for attacking an innocent.","Zostajecie aresztowani pod zarzutem<br>zaatakowania niewinnej osoby."
"end:tranqed-innocent","The penalty is forced labor.","Karą są prace przymusowe."
"end:tranqed-innocent","Your family will be questioned about their involvement.","Wasza rodzina będzie przesłuchana na okoliczność zaangażowania w przestępstwo."
"end:tranqed-innocent","The border will remain open under a replacement inspector.","Służbę na granicy przejmie inspektor zastępczy."
"end:tranqed-innocent","Glory to Arstotzka.","Niech żyje Arstoczka!"
"end:killed-guard","You are under arrest for the murder of an Arstotzkan official.","Zostajecie aresztowani pod zarzutem<br>zabójstwa urzędnika państwowego."
"end:killed-guard","The penalty is death.","Karą jest śmierć."
"end:killed-guard","Your family will be questioned about their involvement.","Wasza rodzina będzie przesłuchana na okoliczność zaangażowania w przestępstwo."
"end:killed-guard","The border will remain open under a replacement inspector.","Służbę na granicy przejmie inspektor zastępczy."
"end:killed-guard","Glory to Arstotzka.","Niech żyje Arstoczka!"
"end:tranqed-guard","You are under arrest for attacking an Arstotzkan official.","Zostajecie aresztowani pod zarzutem<br>ataku na urzędnika państwowego."
"end:tranqed-guard","The penalty is death.","Karą jest śmierć."
"end:tranqed-guard","Your family will be questioned about their involvement.","Wasza rodzina będzie przesłuchana na okoliczność zaangażowania w przestępstwo."
"end:tranqed-guard","The border will remain open under a replacement inspector.","Służbę na granicy przejmie inspektor zastępczy."
"end:tranqed-guard","Glory to Arstotzka.","Niech żyje Arstoczka!"
"end:killed-target","You are under arrest for the murder of an innocent.","Zostajecie aresztowani pod zarzutem<br>zabójstwa niewinnej osoby."
"end:killed-target","The penalty is death.","Karą jest śmierć."
"end:killed-target","Your family will be questioned about their involvement.","Wasza rodzina będzie przesłuchana na okoliczność zaangażowania w przestępstwo."
"end:killed-target","The border will remain open under a replacement inspector.","Służbę na granicy przejmie inspektor zastępczy."
"end:killed-target","Glory to Arstotzka.","Niech żyje Arstoczka!"
"end:killed-target","[A note appears from under the cell door]","[Ktoś wsuwa pod drzwiami list do celi]"
"end:killed-target","INSPECTOR - FAMILY IS SAFE - TARGET ELIMINATED BUT OTHER PROBLEMS ARISE","INSPEKTORZE - RODZINA JEST BEZPIECZNA<br>CEL WYELIMINOWANY - POJAWIŁY SIĘ NOWE PROBLEMY"
"end:killed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED","INSPEKTOR ZASTĘPCZY NIEPRZYCHYLNY<br>DZIAŁALNOŚĆ EZIC UTRUDNIONA"
"end:killed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN","NIE MOŻEMY ZAPEWNIĆ DALSZEGO WSPARCIA<br>EZIC PRZECHODZI W STAN UŚPIENIA"
"end:killed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK","WASZA RODZINA ZOSTANIE ZABRANA DO OBRISTANU<br>POWODZENIA"
"end:tranqed-target","You are under arrest for attacking an innocent.","Zostajecie aresztowani pod zarzutem<br>zaatakowania niewinnej osoby."
"end:tranqed-target","The penalty is forced labor.","Karą są prace przymusowe."
"end:tranqed-target","Your family will be questioned about their involvement.","Wasza rodzina będzie przesłuchana na okoliczność zaangażowania w przestępstwo."
"end:tranqed-target","The border will remain open under a replacement inspector.","Służbę na granicy przejmie inspektor zastępczy."
"end:tranqed-target","Glory to Arstotzka.","Niech żyje Arstoczka!"
"end:tranqed-target","[A note appears from under the cell door]","[Ktoś wsuwa pod drzwiami list do celi]"
"end:tranqed-target","INSPECTOR - FAMILY IS SAFE - TARGET HAS RECOVERED IN HOSPITAL","INSPEKTORZE - RODZINA JEST BEZPIECZNA<br>NASZ CEL WYZDROWIAŁ W SZPITALU"
"end:tranqed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED","INSPEKTOR ZASTĘPCZY NIEPRZYCHYLNY<br>DZIAŁALNOŚĆ EZIC UTRUDNIONA"
"end:tranqed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN","NIE MOŻEMY ZAPEWNIĆ DALSZEGO WSPARCIA<br>EZIC PRZECHODZI W STAN UŚPIENIA"
"end:tranqed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK","WASZA RODZINA ZOSTANIE ZABRANA DO OBRISTANU<br>POWODZENIA"
"end:stuff-on-walls","You are under arrest for violating direct orders.","Zostajecie aresztowani pod zarzutem niesubordynacji."
"end:stuff-on-walls","The penalty is forced labor.","Karą są prace przymusowe."
"end:stuff-on-walls","Your family will be sent back to their village.","Wasza rodzina zostanie odesłana z powrotem do waszej wsi."
"end:stuff-on-walls","The border will remain open under a replacement inspector.","Służbę na granicy przejmie inspektor zastępczy."
"end:stuff-on-walls","Glory to Arstotzka.","Niech żyje Arstoczka!"
"end:arrested-boss-buddy","Your supervisor has reported you for theft of Arstotzkan property.","Wasz przełożony doniósł o dokonanej<br>przez was kradzieży mienia państwowego."
"end:arrested-boss-buddy","The penalty is forced labor.","Karą są prace przymusowe."
"end:arrested-boss-buddy","Your family will be sent back to their village.","Wasza rodzina zostanie odesłana z powrotem do waszej wsi."
"end:arrested-boss-buddy","The border will remain open under a replacement inspector.","Służbę na granicy przejmie inspektor zastępczy."
"end:arrested-boss-buddy","Glory to Arstotzka.","Niech żyje Arstoczka!"
"end:wall-destroyed","The Grestin Border wall has been destroyed.","Mur graniczny w Grestin został zburzony."
"end:wall-destroyed","You are under arrest for failure to defend the checkpoint.","Zostajecie aresztowani pod zarzutem<br>nieudolnej ochrony placówki."
"end:wall-destroyed","Your family will be sent back to their village.","Wasza rodzina zostanie odesłana z powrotem do waszej wsi."
"end:wall-destroyed","The border will reopen under a replacement inspector.","Po ponownym otwarciu granicy waszą służbę<br>przejmie inspektor zastępczy."
"end:wall-destroyed","Glory to Arstotzka.","Niech żyje Arstoczka!"
