"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"bulletin:11B","__________________________
FORGERIES

Double-check that required documents contain valid seals. 

Correlate missing or wrong seals against the appropriate entries in the DOCUMENTS chapter of your rulebook.","__________________________
偽造について

正式印章の印があるべき書類は<br>二重チェックすること。

印章の不備又は偽造印章である場合、<br>規則書内の書類の章の該当箇所と<br>関連付けよ。"
"bulletin:13A","The new director is unsatisfied with the level of scrutiny afforded to foreigners.

From today forward, all foreign entrants must present a recent IDENTITY SUPPLEMENT listing weight, height, and appearance.

The rulebook DOCUMENTS chapter has been updated.","新長官は外国人に対する検問水準に<br>不満を持っている。

本日付けで全外国人入国者に対し、<br>身長・体重・外観の特徴が記載された<br>最新の身分証明補足書を提示する<br>ことが義務付けられた。 

規則書内の書類の章を更新した。"
"bulletin:14A","The Ministry of Justice has requested our support.

Daily bulletins will now contain a listing of the top 3 most wanted international criminals.

Check faces against entrants and detain suspects immediately.[PAGESNOTE]","法務省より協力の要請があった。

公報に国際重要指名手配犯の<br>上位３名が記載される。

入国者の容貌を確認し、<br>容疑者は即時拘束すること。[PAGESNOTE]"
"bulletin:16A","The Ministry of Justice has appropriated the outer guard detail. 

You are now responsible for controlling trespasser activity.

The provided key can be used to unlock the tranquilizer gun once an alarm has been raised.

Continued...[PAGESNOTE]","法務省は外部警備のため分隊を<br>派遣した。

今後、侵入者を抑圧する責務を<br>与える。

警報作動時には、支給されたキーで<br>麻酔銃を解錠せよ。

次項へ...[PAGESNOTE]"
"bulletin:16B","__________________________
COMPENSATION

You will receive a bonus for stopping any trespasser. A smaller bonus is provided for firing on, but missing, your target.

__________________________
WEAPONS PROTOCOL

Review instructional diagram on following page.","__________________________
報酬について

侵入者を妨害すると手当が<br>支給される。
命中しなかった場合は少額の<br>手当となる。

__________________________
武器 使用規定

次項に記載された手順を<br>参照すること。"
"bulletin:18A","Unfavorable international press has affected immigration protocol.

All denials must be accompanied by a REASON FOR DENIAL stamp.

A new computer inking system has been installed. Interrogate discrepancies to prime the REASON FOR DENIAL stamp.

Continued...","国際報道誌からの批判の影響により、<br>審査手順に変更が生じた。

入国拒否の際は拒否事由の押印が<br>義務付けられる。

新たなコンピューターシステムが<br>導入された。
矛盾を問いただすことで<br>拒否事由スタンプを<br>使用することができる。

次項へ..."
"bulletin:18B","__________________________
DENIAL PROTOCOL

REASON FOR DENIAL stamp is activated on first interrogation.

When denying entry, stamp both DENIED and REASON FOR DENIAL on passport.

If applicant clarifies discrepancies sufficiently, approval is authorized even while REASON FOR DENIAL stamp remains available.","__________________________
入国拒否手順

拒否事由スタンプは最初の<br>審問より使用可能となる。

入国者を拒否する際は、<br>入国拒否スタンプ及び<br>拒否事由スタンプの双方を<br>押印すること。

矛盾が解決した場合、<br>拒否事由スタンプが出ていても<br>入国許可の押印が可能。"
"bulletin:19A","Impor rejects all imported goods from Arstotzka.

Under request from the Ministry of Trade, the Ministry of Admission will react to this violation.

Deny all travelers from Impor.","インポールはアルストツカからの<br>輸入を全面規制した。

貿易省の要請により、入管省は<br>この侵害行為に対し制裁を発動する。

インポールからの入国者はすべて<br>拒否せよ。"
"bulletin:20A","Impor has relented on their faulty policy.

Imporians are now permitted entry.

The divisional authority of East Grestin operations will visit again today.","インポールは不当な規制を解除した。

インポール人の入国を許可する。

東グレスティン区画の責任者が本日<br>再び訪れる。"
"bulletin:21A","A special program for political asylum has been established.

Those seeking asylum must carry a valid GRANT OF ASYLUM.

Entrants with such a grant do not require an ENTRY PERMIT or an ID SUPPLEMENT.","政治亡命に関する特別措置が<br>制定された。

亡命希望者は亡命認可証の提示が<br>必要である。

この認可証を所持する者は<br>入国許可証及び身分証明補足書の<br>提示義務はない。"
"bulletin:23A","Your position is important and your responsibilities are broad.

Follow all protocols strictly.","貴方の職位は重要であり、<br>責任は広範囲に及ぶ。

すべての規則に厳密に従え。"
"bulletin:24A","Recent events have cast suspicion on the activities of Arstotzkan citizens in the ALTAN district.

The Ministry of Information has requested our cooperation.

A special drawer for confiscating documents has been installed in your booth.

Continued...","最近の一連の事件に関し、<br>アルタン地区住民に容疑が<br>かけられた。

情報省から協力を要請されている。

審査室に押収書類用の特別な<br>引き出しを設置した。

次項へ..."
"bulletin:24B","The rulebook has been updated with information regarding confiscation policy.

Confiscate all Arstotzkan passports from residents living in ALTAN district.

Travelers may still be granted entry if passport is confiscated and no other rules are violated.

PASSPORT SEIZURE slips will be issued to allow entry or denial without a passport.","規則書に押収手順に関する情報が<br>追記された。

アルタン地区の全住民から<br>アルストツカ国のパスポートを<br>押収せよ。

パスポートを押収しても、<br>他の規則に違反していなければ<br>入国は許可される。

パスポートのない者の入国許可及び<br>拒否には押収伝票を発行せよ。"
"bulletin:25A","United Federation citizens present a risk of spreading infectious disease.

Deny all entrants from United Federation.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","合衆連邦国民は伝染性の疾患を<br>流行させる恐れがある。

合衆連邦からの入国希望者は全て<br>拒否すること。

アルタン地区住民からは引き続き<br>アルストツカのパスポートを<br>押収すること。"
"bulletin:26A","The risk of disease is too great. A new protocol has been instituted.

All entrants must carry a valid CERTIFICATE OF VACCINATION with an up-to-date POLIO vaccine.

This requirement extends to natives, foreigners, diplomats, and asylum seekers.

Continued...","伝染病の危険性は計り知れない。
新たな規定を制定する。

全ての入国者は、ポリオワクチンが<br>有効であるワクチン接種証明書を<br>提示しなければならない。

全自国民、全外国人、全外交官、<br>全亡命希望者の義務とする。

次項へ..."
"bulletin:26B","United Federation citizens are permitted entry with such certification.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","この証明書を持った合衆連邦国民は<br>入国が許可される。

アルタン地区住民からは引き続き<br>アルストツカのパスポートを<br>押収すること。"
"bulletin:27A","In order to improve efficiency, the ENTRY PERMIT and ID SUPPLEMENT have been consolidated into a single ACCESS PERMIT.

Foreigners are now required to present a valid ACCESS PERMIT.

Continued...","業務の効率化を図るため、<br>入国許可証及び身分証明補足書は、<br>一枚の入境許可証に統合。

外国人は今後、入境許可証が<br>必要となる。

次項へ..."
"bulletin:27B","Yesterday's coordinated attack has prompted an emergency meeting. 

An important Kolechian negotiator will arrive today to discuss issues at this checkpoint.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","昨日の組織的襲撃を受け緊急会談が<br>開かれる。 

本日、国境付近の問題に関する<br>討議のため、コレチアから重要な<br>外交官が到着する。

アルタン地区住民からは引き続き<br>アルストツカのパスポートを<br>押収せよ。"
"bulletin:28A","In response to continued attacks, the Ministry of Information is expanding the passport confiscation program.

Confiscate all Arstotzkan passports from native entrants.

There are no exceptions.

Do not confiscate foreign passports.","度重なる襲撃をうけ、情報省は<br>パスポート押収施策の範囲を<br>拡大した。

全アルストツカ国民からパスポートを<br>押収せよ。

例外は無い。

外国人のパスポートは押収しては<br>ならない。"
"bulletin:29A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE]
全政府職員が情報捜査の対象と<br>なった。
不正組織との関係が見つかった者は<br>直ちに逮捕する。

貴方の捜査は12月24日に<br>予定されている。

所定地域を離れてはならない。

次項へ..."
"bulletin:29B","Continue to confiscate all Arstotzkan passports from native entrants.","引き続き全国民からアルストツカの<br>パスポートを押収せよ。"
"bulletin:30A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE]
全政府職員が情報捜査の対象と<br>なった。
不正組織との関係が見つかった者は<br>直ちに逮捕する。

貴方の捜査は12月24日に<br>予定されている。

所定地域を離れてはならない。

次項へ..."
"bulletin:30B","Continue to confiscate all Arstotzkan passports from native entrants.","引き続き全国民からアルストツカの<br>パスポートを押収せよ。"
"bulletin:31A","The Ministry of Admission is involved in discussions regarding the closure of this checkpoint.

Until a decision is made, maintain your duties as ordered.

Continued...","入国管理省は、本検問所の閉鎖に<br>関する討議に出席する。

決定が下るまで、通常通り業務を<br>遂行せよ。

次項へ..."
"bulletin:31B","You are scheduled for an information audit tomorrow morning.

DO NOT LEAVE YOUR DESIGNATED REGION.

Continue to confiscate all Arstotzkan passports from native entrants.","明朝、貴方の情報捜査が行われる<br>予定である。

所定地域を離れてはならない。

引き続き全国民からアルストツカの<br>パスポートを押収せよ。"
"facts","$paper: Invalid $fact","$paper: 不正な$fact"
"facts","Missing $paper","$paperの不備"
"facts","$0 DISTRICT","$0地区"
"facts","Presence","可"
"facts","Sufficience","良"
"facts","Excellence","優"
"facts","Obristan","オブリスタン"
"facts","Antegria","アンテグリア"
"facts","Republia","リパブリア"
"facts","UnitedFed","合衆連邦"
"facts","Impor","インポール"
"facts","Kolechia","コレチア"
"facts","Arstotzka","アルストツカ"
"facts","Skal","スカール"
"facts","Lorndaz","ローンダズ"
"facts","Mergerous","メルジェロス"
"facts","St. Marmero","聖マルメロ"
"facts","Glorian","グロリアン"
"facts","Outer Grouse","ｱｳﾀｰｸﾞﾗｳｽ"
"facts","True Glorian","ﾄｩﾙｰｸﾞﾛﾘｱﾝ"
"facts","Lesrenadi","レズラナディ"
"facts","Bostan","ボスタン"
"facts","Great Rapid","ｸﾞﾚｲﾄﾗﾋﾟｯﾄﾞ"
"facts","Shingleton","シングルトン"
"facts","Korista City","ｺﾘｽﾀｼﾃｨ"
"facts","Enkyo","エンキョウ"
"facts","Haihan","ハイハン"
"facts","Tsunkeido","ツンケイド"
"facts","Yurko City","ユルコシティ"
"facts","Vedor","ヴェドール"
"facts","West Grestin","西ｸﾞﾚｽﾃｨﾝ"
"facts","Orvech Vonor","ｵｰｳﾞｪｸｳﾞｫﾉｰ"
"facts","East Grestin","東ｸﾞﾚｽﾃｨﾝ"
"facts","Paradizna","パラディズナ"
"facts","Passport","パスポート"
"facts","Entry Ticket","入国券"
"facts","Entry Permit","入国許可証"
"facts","Work Pass","労働許可証"
"facts","Id Card","IDカード"
"facts","Id Supplement","身分証明補足書"
"facts","Access Permit","入境許可証"
"facts","Diplomatic Auth","外交特権証明書"
"facts","Asylum Grant","亡命認可証"
"facts","Vaccine Cert","ワクチン証明書"
"facts","Identity Record","身分証明書"
"facts","Fingerprints","指紋"
"facts","Name","氏名"
"facts","Id Number","ID番号"
"facts","Expiration Date","有効期日"
"facts","Issuing City","発行地"
"facts","Birth Date","生年月日"
"facts","Alias","別名"
"facts","Height","身長"
"facts","Weight","体重"
"facts","Description","特徴"
"facts","Thumbprint","拇印"
"facts","Date","日付"
"facts","Purpose","目的"
"facts","Duration","期間"
"facts","Face","顔"
"facts","District","地区"
"facts","Gender","性別"
"facts","Work End Date","労働期間"
"facts","Altan","アルタン"
"facts","Vescillo","ヴェシーロ"
"facts","Burnton","バーントン"
"facts","Octovalis","オクトヴァリス"
"facts","Gennistora","ジェニストラ"
"facts","Lendiforma","レンディフォルマ"
"facts","Wozenfield","ｳｫｾﾞﾝﾌｨｰﾙﾄﾞ"
"facts","Fardesto","ファーデスト"
"facts","DENTISTRY","歯科医"
"facts","HEALTH-CARE","医療従事者"
"facts","GENERAL-LABOR","一般労働者"
"facts","ENGINEERING","エンジニア"
"facts","SPORTS","スポーツ選手"
"facts","ARCHITECTURE","建築家"
"facts","FOOD-SERVICE","サービス業"
"facts","AVIATION","航空産業"
"facts","ACCOUNTING","会計士"
"facts","FISHING","水産業"
"facts","DRAFTING","設計士"
"facts","RESEARCH","調査員"
"facts","FINE-ARTS","芸術家"
"facts","AGRICULTURE","農業"
"facts","MANUFACTURING","製造業"
"facts","CONSTRUCTION","建設業"
"facts","SURVEYING","測量士"
"facts","STATISTICS","統計士"
"facts","POLIO","ポリオ"
"facts","HPV","HPV"
"facts","COWPOX","牛痘"
"facts","TETANUS","破傷風"
"facts","YEL.FEV.","黄熱"
"facts","CHOLERA","コレラ"
"facts","RUBELLA","風疹"
"facts","HEP-B","B型肝炎"
"facts","MEASLES","はしか"
"facts","TUBERC.","結核"
"facts","2 DAYS","２日間"
"facts","14 DAYS","14日間"
"facts","1 MONTH","１ヶ月"
"facts","2 MONTHS","２ヶ月"
"facts","3 MONTHS","３ヶ月"
"facts","6 MONTHS","６ヶ月"
"facts","1 YEAR","１年"
"facts","FOREVER","永住"
"facts","visit","観光"
"facts","transit","乗継"
"facts","work","就労"
"facts","immigrate","移住"
"facts","Possible Smuggler Admitted","密輸容疑者を入国許可"
"facts","Missing documents","書類不備"
"facts","Wanted criminal admitted","指名手配犯を入国許可"
"facts","Incorrect purpose response","滞在目的の返答が不適当"
"facts","Incorrect visit duration response","滞在期間の返答が不適当"
"facts","Passport: Non-matching photo","パスポート：写真不一致"
"facts","Forged Entry Permit","偽造された入国許可証"
"facts","Forged Work Pass","偽造された労働許可証"
"facts","Id Card: Non-matching photo","IDカード：写真不一致"
"facts","Forged Access Permit","偽造された入境許可証"
"facts","No Diplomatic Access to Arstotzka","アルストツカでの外交特権なし"
"facts","Forged Diplomatic Auth","偽造された外交特権証明書"
"facts","Forged Asylum Grant Seal","亡命認可証に偽造印章"
"facts","Necessary vaccine expired","必要なワクチンが期限切れ"
"facts","Missing necessary vaccine","必要なワクチンが不備"
"facts","Name does not match record","氏名が登録と不一致"
"facts","Alias does not match record","別名が登録と不一致"
"facts","Fingerprints do not match record","指紋が登録と不一致"
"facts","Cobrastan is not a real country","コブラスタン国は実在しない"
"facts","No entry from Antegria","アンテグリア人は入国不可"
"facts","No entry from Arstotzka","アルストツカ人は入国不可"
"facts","No entry from Republia","リパブリア人は入国不可"
"facts","No entry from United Fed","合衆連邦人は入国不可"
"facts","No entry from Obristan","オブリスタン人は入国不可"
"facts","No entry from Impor","インポール人は入国不可"
"facts","No entry from Kolechia","コレチア人は入国不可"
"facts","Possible Terrorist Admitted","テロ容疑者を入国許可"
"facts","Entrant Holds Conflicting Passports","入国者が重複するパスポートを所持"
"facts","Entrant must have a passport","入国者はパスポートが必須"
"facts","Foreigners require an entry permit","外国人は入国許可証が必須"
"facts","Foreigners require an entry ticket","外国人は入国券が必須"
"facts","All documents must be current","全ての書類は期限内でなければならない"
"facts","Workers must have a work pass","労働者は労働許可証が必須"
"facts","Citizens must have an id card","アルストツカ国民はIDカード必携"
"facts","Foreigners require an id supplement","外国人は身分証明補足書が必須"
"facts","Arstotzkan citizens only","入国はアルストツカ国民のみ"
"facts","No entry from United Federation","合衆連邦からの入国者はすべて拒否せよ"
"facts","No weapons or contraband","武器、密輸品を持ちこませるな"
"facts","All Kolechians must be searched","全コレチア人を検査せよ"
"facts","Diplomats require authorization","外交官は特権証明が必須"
"facts","Entrant must have polio vaccine cert","入国者はポリオワクチン証明書が必須"
"facts","Asylum seekers must have a grant","亡命希望者は認可証が必須"
"facts","Foreigners require an access permit","外国人は入境許可証が必須"
"facts","CONFISCATE ARSTOTZKAN PASSPORTS BELONGING TO ALTAN RESIDENTS.","アルタン住民に限りアルストツカのパスポートを押収せよ。"
"facts","CONFISCATE ALL ARSTOTZKAN PASSPORTS. NO EXCEPTIONS.","全アルストツカ人のパスポートを押収せよ。例外はない。"
"facts","Passport not confiscated","パスポート未押収"
"paper:SecondPassport","West Grestin","西グレスティン"
"paper:Rules","Basic Rules","基本規則"
"paper:Rules","Regional Map","行政地図"
"paper:Rules","Booth Info","審査室情報"
"paper:Rules","Documents","書類"
"paper:Rules","Confiscation","押収"
"paper:Rules","Obristan","オブリスタン"
"paper:Rules","Antegria","アンテグリア"
"paper:Rules","Republia","リパブリア"
"paper:Rules","United","合衆"
"paper:Rules","Federation","連邦"
"paper:Rules","Impor","インポール"
"paper:Rules","Kolechia","コレチア"
"paper:Rules","Arstotzka","アルストツカ"
"paper:Rules","ANTEGRIA","アンテグリア"
"paper:Rules","ARSTOTZKA","アルストツカ"
"paper:Rules","IMPOR","インポール"
"paper:Rules","KOLECHIA","コレチア"
"paper:Rules","OBRISTAN","オブリスタン"
"paper:Rules","REPUBLIA","リパブリア"
"paper:Rules","UNITED FED.","合衆連邦"
"paper:Rules","Id Card (Native)","IDカード(自国民)"
"paper:Rules","Entry Permit","入国許可証"
"paper:Rules","Id Supplement","身分証明補足書"
"paper:Rules","Access Permit","入境許可証"
"paper:Rules","Work Pass","労働許可証"
"paper:Rules","Diplomatic Auth.","外交特権証明書"
"paper:Rules","Grant of Asylum","亡命認可証"
"paper:Rules","Vaccine Cert.","ワクチン証明書"
"intro","Congratulations.","おめでとう。"
"intro","The October labor lottery is complete. Your name was pulled.","10月度勤労抽選により貴方を入国審査官に命ずる。"
"intro","For immediate placement, report to the Ministry of Admission at Grestin Border Checkpoint.","即座配属のため、至急グレスティン国境検問所の<br>入国管理省に赴くように。"
"intro","An apartment will be provided for you and your family in East Grestin. Expect a Class-8 dwelling.","貴方とその家族には、東グレスティンの<br>８等級の住居が割り当てられる。"
"intro","Glory to Arstotzka.","アルストツカに栄光あれ。"
"end:in-debt","Arstotzka has zero tolerance for delinquency.","アルストツカは犯罪を一切許容しない。"
"end:in-debt","Your family will be sent back to their village.","家族は村へ送り返されることになる。"
"end:in-debt","You are under arrest until your debts are repaid.","貴方は負債を完済するまで拘禁される。"
"end:in-debt","A replacement inspector will be found easily.","代わりの審査官は容易に見つかるだろう。"
"end:in-debt","Glory to Arstotzka.","アルストツカに栄光あれ。"
"end:family-dead","Your entire family is gone.","家族は全員死亡した。"
"end:family-dead","The Ministry Of Labor focuses on Arstotzka's future growth.","労働省はアルストツカの将来的な<br>成長を重視している。"
"end:family-dead","Workers are expected to support large healthy families.","よって労働者には健康的な大家族を<br>養うことが期待されている。"
"end:family-dead","Your position will be filled by someone more appropriate.","貴方の職位は、より相応しい者に割り当てられる。"
"end:family-dead","Glory to Arstotzka.","アルストツカに栄光あれ。"
"end:turned-over-ezic-docs","You are under arrest for associating with suspicious groups.","貴方は不審な組織に協力した容疑で逮捕された。"
"end:turned-over-ezic-docs","The Ministry of Information will perform a full audit of your recent activities.","情報省は、貴方の最近の行動に対し<br>徹底捜査を行うこととなる。"
"end:turned-over-ezic-docs","Glory to Arstotzka.","アルストツカに栄光あれ。"
"end:caught-with-ezic-money","The Ministry of Income has discovered an anomaly in your earnings.","所得省は貴方の収入に異常を発見した。"
"end:caught-with-ezic-money","You are under arrest pending a full audit of your recent activities.","貴方は逮捕され、最近の行動に関して<br>徹底的に捜査が行われる。"
"end:caught-with-ezic-money","Your family will likewise be held for questioning.","家族にも同様に尋問が行われるだろう。"
"end:caught-with-ezic-money","The border will remain open under a replacement inspector.","国境検問所は別の審査官によって<br>引き続き運営される。"
"end:caught-with-ezic-money","Glory to Arstotzka.","アルストツカに栄光あれ。"
"end:killed-innocent","You are under arrest for the murder of an innocent.","貴方は無実の者を殺害したとして逮捕された。"
"end:killed-innocent","The penalty is death.","刑罰は死刑である。"
"end:killed-innocent","Your family will be questioned about their involvement.","家族も関与の有無を尋問されるだろう。"
"end:killed-innocent","The border will remain open under a replacement inspector.","国境検問所は別の審査官によって<br>引き続き運営される。"
"end:killed-innocent","Glory to Arstotzka.","アルストツカに栄光あれ。"
"end:tranqed-innocent","You are under arrest for attacking an innocent.","貴方は無実の者に危害を加えたとして<br>逮捕された。"
"end:tranqed-innocent","The penalty is forced labor.","刑罰は強制労働である。"
"end:tranqed-innocent","Your family will be questioned about their involvement.","家族も関与の有無を尋問されるだろう。"
"end:tranqed-innocent","The border will remain open under a replacement inspector.","国境検問所は別の審査官によって<br>引き続き運営される。"
"end:tranqed-innocent","Glory to Arstotzka.","アルストツカに栄光あれ。"
"end:killed-guard","You are under arrest for the murder of an Arstotzkan official.","貴方はアルストツカ官吏を殺害したとして<br>逮捕された。"
"end:killed-guard","The penalty is death.","刑罰は死刑である。"
"end:killed-guard","Your family will be questioned about their involvement.","家族も関与の有無を尋問されるだろう。"
"end:killed-guard","The border will remain open under a replacement inspector.","国境検問所は別の審査官によって<br>引き続き運営される。"
"end:killed-guard","Glory to Arstotzka.","アルストツカに栄光あれ。"
"end:tranqed-guard","You are under arrest for attacking an Arstotzkan official.","貴方はアルストツカ官吏に<br>危害を加えたとして逮捕された。"
"end:tranqed-guard","The penalty is death.","刑罰は死刑である。"
"end:tranqed-guard","Your family will be questioned about their involvement.","家族も関与の有無を尋問されるだろう。"
"end:tranqed-guard","The border will remain open under a replacement inspector.","国境検問所は別の審査官によって<br>引き続き運営される。"
"end:tranqed-guard","Glory to Arstotzka.","アルストツカに栄光あれ。"
"end:killed-target","You are under arrest for the murder of an innocent.","貴方は無実の者を殺害したとして逮捕された。"
"end:killed-target","The penalty is death.","刑罰は死刑である。"
"end:killed-target","Your family will be questioned about their involvement.","家族も関与の有無を尋問されるだろう。"
"end:killed-target","The border will remain open under a replacement inspector.","国境検問所は別の審査官によって<br>引き続き運営される。"
"end:killed-target","Glory to Arstotzka.","アルストツカに栄光あれ。"
"end:killed-target","[A note appears from under the cell door]","[牢獄の扉の下にメモが差し込まれた]"
"end:killed-target","INSPECTOR - FAMILY IS SAFE - TARGET ELIMINATED BUT OTHER PROBLEMS ARISE","シンサカン ドノヘ カゾクハ ブジダ<br>ヒョウテキ ハイジョゴ アラタナモンダイ フジョウ"
"end:killed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED","アラタナ シンサカンハ ヒキョウリョクテキ<br>EZICノ カツドウ ハバマレタ"
"end:killed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN","コレイジョウノ エンジョハ フカノウ<br>EZICハ カツドウヲ サイトウケツ スル"
"end:killed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK","カゾクハ オブリスタンニ オクラレル<br>コウウンヲ イノル"
"end:tranqed-target","You are under arrest for attacking an innocent.","貴方は無実の者に<br>危害を加えたとして逮捕された。"
"end:tranqed-target","The penalty is forced labor.","刑罰は強制労働である。"
"end:tranqed-target","Your family will be questioned about their involvement.","家族も関与の有無を尋問されるだろう。"
"end:tranqed-target","The border will remain open under a replacement inspector.","国境検問所は別の審査官によって<br>引き続き運営される。"
"end:tranqed-target","Glory to Arstotzka.","アルストツカに栄光あれ。"
"end:tranqed-target","[A note appears from under the cell door]","[牢獄の扉の下にメモが差し込まれた]"
"end:tranqed-target","INSPECTOR - FAMILY IS SAFE - TARGET HAS RECOVERED IN HOSPITAL","シンサカン ドノヘ カゾクハ ブジダ<br>ヒョウテキハ ビョウショウヨリ カイフク"
"end:tranqed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED","アラタナ シンサカンハ ヒキョウリョクテキ<br>EZICノ カツドウ ハバマレタ"
"end:tranqed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN","コレイジョウノ エンジョハ フカノウ<br>EZICハ カツドウヲ サイトウケツ スル"
"end:tranqed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK","カゾクハ オブリスタンニ オクラレル<br>コウウンヲ イノル"
"end:stuff-on-walls","You are under arrest for violating direct orders.","貴方は指揮命令違反で逮捕された。"
"end:stuff-on-walls","The penalty is forced labor.","刑罰は強制労働である。"
"end:stuff-on-walls","Your family will be sent back to their village.","家族は村へ送り返されることになる。"
"end:stuff-on-walls","The border will remain open under a replacement inspector.","国境検問所は別の審査官によって<br>引き続き運営される。"
"end:stuff-on-walls","Glory to Arstotzka.","アルストツカに栄光あれ。"
"end:arrested-boss-buddy","Your supervisor has reported you for theft of Arstotzkan property.","上官から貴方がアルストツカの所有物を<br>窃取したと報告があった。"
"end:arrested-boss-buddy","The penalty is forced labor.","刑罰は強制労働である。"
"end:arrested-boss-buddy","Your family will be sent back to their village.","家族は村へ送り返されることになる。"
"end:arrested-boss-buddy","The border will remain open under a replacement inspector.","国境検問所は別の審査官によって<br>引き続き運営される。"
"end:arrested-boss-buddy","Glory to Arstotzka.","アルストツカに栄光あれ。"
"end:wall-destroyed","The Grestin Border wall has been destroyed.","グレスティンの壁は破壊された。"
"end:wall-destroyed","You are under arrest for failure to defend the checkpoint.","貴方は検問所の防衛に<br>失敗したとして逮捕された。"
"end:wall-destroyed","Your family will be sent back to their village.","家族は村へ送り返されることになる。"
"end:wall-destroyed","The border will reopen under a replacement inspector.","国境検問所は代わりの審査官により再開される。"
"end:wall-destroyed","Glory to Arstotzka.","アルストツカに栄光あれ。"
"end:help-ezic-kill-attackers-wall-safe","Hello inspector.","審査官よ。"
"end:help-ezic-kill-attackers-wall-safe","We have audited your recent activities.","君の最近の行動を捜査させてもらった。"
"end:help-ezic-kill-attackers-wall-safe","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","EZICスター組織と名乗る連中との<br>関与が発覚した。"
"end:help-ezic-kill-attackers-wall-safe","Several members of this group have been arrested in Arstotzka.","グループのメンバーがアルストツカで逮捕された。"
"end:help-ezic-kill-attackers-wall-safe","At least one EZIC member has confessed to receiving your help.","その中に君に協力を得ていたと<br>自白する者がいた。"
"end:help-ezic-kill-attackers-wall-safe","This represents treason of the highest order.","これは反逆罪の中でも最高の罪に値する。"
"end:help-ezic-kill-attackers-wall-safe","Goodbye inspector.","さらばだ、審査官よ。"
"end:help-ezic-kill-attackers-wall-safe","The execution is scheduled for tonight.","君の死刑は今晩執行される。"
"end:help-ezic-kill-attackers-wall-safe","Your family's safety is unknown.","家族の安否は不明。"
"end:help-ezic-kill-attackers-wall-safe","EZIC has been crushed. The balance of justice is restored.","EZICは壊滅し、正義は取り戻された。"
"end:help-ezic-kill-attackers-wall-safe","Glory to Arstotzka.","アルストツカに栄光あれ。"
"end:help-ezic-kill-attackers-wall-safe","[A note appears from under the cell door]","[牢獄の扉の下にメモが差し込まれた]"
"end:help-ezic-kill-attackers-wall-safe","INSPECTOR - YOU HAVE BETRAYED US AT THE LAST MOMENT","シンサカン ドノヘ<br>アナタハ サイゴニ ワレラヲ ウラギッタ"
"end:help-ezic-kill-attackers-wall-safe","THIS CHAPTER OF EZIC IS OVER - WE CAN OFFER NO HELP TO YOUR FAMILY","イマノ EZICハ モウオワリダ<br>アナタノ カゾクニ エンジョハ デキナイ"
"end:help-ezic-kill-attackers-wall-destroyed","The border has been pierced.","国境は崩壊した。"
"end:help-ezic-kill-attackers-wall-destroyed","It is a glorious day for THE ORDER OF THE EZIC STAR but you have betrayed us at the last moment.","EZICスター組織にとって輝かしい一日だが、<br>貴方は最後に我らを裏切った。"
"end:help-ezic-kill-attackers-wall-destroyed","EZIC grows strong while the corrupt and greedy weaken.","腐敗と貪欲の衰退と共にEZICは勢力を伸ばす。"
"end:help-ezic-kill-attackers-wall-destroyed","Your betrayal means you have chosen the wrong side.","貴方の裏切りは、<br>間違った側についたことを意味する。"
"end:help-ezic-kill-attackers-wall-destroyed","There is no place for you or your family in this revolution.","この革命に貴方と家族の居場所はない。"
"end:help-ezic-kill-attackers-wall-destroyed","Goodbye inspector.","さようなら審査官殿。"
"end:help-ezic-kill-attackers-wall-destroyed","Glory to the New Arstotzka.","新アルストツカに栄光あれ。"
"end:help-few-ezic","Hello inspector.","審査官よ。"
"end:help-few-ezic","We have audited your recent activities.","君の最近の行動を捜査させてもらった。"
"end:help-few-ezic","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","EZICスター組織と名乗る連中との<br>関与が発覚した。"
"end:help-few-ezic","Several members of this group have been arrested in Arstotzka.","グループのメンバーがアルストツカで逮捕された。"
"end:help-few-ezic","At least one EZIC member has confessed to receiving your help.","その中に君に協力を得ていたと<br>自白する者がいた。"
"end:help-few-ezic","This represents treason of the highest order.","これは反逆罪の中でも最高の罪に値する。"
