"CONTEXT", "ID", "TEXT"
"bulletin:4B","A new chapter detailing document features has been added to your rulebook.

Check all information thoroughly.

Deny any applicant with discrepant documents.

Refer to the AUDIO TRANSCRIPT to correlate entrant's statements.","Die Vorschriften wurden um ein neues Kapitel über Dokumentenmerkmale ergänzt.

Alle Informationen sind eingehend zu studieren.

Einreisewilligen mit diskrepanten Dokumenten ist die Einreise zu verweigern.

Anhand des AUDIO-TRANSKRIPTS können Sie die Aussagen des Einreisewilligen korrelieren."
"bulletin:5A","You are now authorized to detain suspicious individuals.

Interrogate discrepancies to enable detention option.","Sie sind ab sofort autorisiert, verdächtige Individuen unter Arrest zu stellen.

Verhören Sie Einreisewillige hinsichtlich Diskrepanzen, um sie unter Arrest stellen zu können."
"bulletin:6A","The Ministry of Labor has instituted a special program to control immigrant labor.

Travelers entering for work require a valid WORK PASS.","das Ministerium für Arbeit hat ein Sonderprogramm zur Kontrolle der Werktätigkeit von Immigranten aufgelegt.

Personen, die zwecks Aufnahme einer Werktätigkeit einreisen wollen, haben einen gültigen ARBEITSAUSWEIS vorzulegen."
"bulletin:7A","To facilitate more thorough inspections, a SEARCH scanner system has been installed in your booth.

Kolechian extremists are suspected in yesterday's bombing. 

Search all Kolechians before approving their entry.","um die Abfertigung zu beschleunigen, wurde ein SUCH-Scanner-System in Ihrer Kabine installiert.

Kolechische Extremisten stehen im Verdacht, für den Bombenanschlag vom gestrigen Tage verantwortlich zu sein. 

Durchsuchen Sie alle Kolechen, bevor Sie deren Einreise genehmigen."
"bulletin:8A","The Kolechians have filed a formal complaint. 

A diplomat will arrive today for high-level discussions.

Automatic searches of Kolechian citizens are no longer authorized.

Continued...[PAGESNOTE]","die Kolechen haben formell Beschwerde eingelegt. 

Ein Diplomat wird heute zu Gesprächen auf höchster Ebene eintreffen.

Das automatische Durchsuchen von Bürgern Kolechiens ist nicht länger autorisiert.

Bitte wenden ...[PAGESNOTE]"
"bulletin:8B","__________________________
DIPLOMATS

Diplomats require only a PASSPORT and valid DIPLOMATIC AUTHORIZATION to enter. 

Refer to the rulebook for updated document information.","__________________________
DIPLOMATEN

Diplomaten benötigen zur Einreise nur einen PASS und eine gültige DIPLOMATISCHE AKKREDITIERUNG. 

Aktualisierte Informationen zu den entsprechenden Dokumenten finden Sie in den Vorschriften."
"bulletin:9A","An undercover agent of the Ministry of Information has been compromised.

The Ministry of Admission has offered its services as liaison. Expect a possible drop later today.","ein verdeckt operierender Agent des Ministeriums für Information ist enttarnt worden.

Das Ministerium für Grenzschutz hat seine Dienste als Vermittler angeboten. Mehr dazu später am heutigen Tage."
"bulletin:10A","The divisional authority of East Grestin operations will visit today.

Maintain your best behavior.","heute wird Ihnen die Abteilungsleitung für den Distrikt Ost-Grestin einen Besuch abstatten.

Legen Sie Ihr bestmögliches Verhalten an den Tag."
"bulletin:11A","A break-in at M.O.A. offices may have compromised our document sealing plates.

Nothing important was stolen but intelligence suggests counterfeiters have already begun forging official Arstotzkan documents.

Continued...","durch einen Einbruch beim MfG sind unter Umständen Siegel und Stempel abhanden gekommen.

Es wurde nichts von Bedeutung entwendet, doch Geheimdienstberichten zufolge sind Fälscher bereits dabei, offizielle arstotzkanische Dokumente zu fälschen.

Bitte wenden ..."
"bulletin:11B","__________________________
FORGERIES

Double-check that required documents contain valid seals. 

Correlate missing or wrong seals against the appropriate entries in the DOCUMENTS chapter of your rulebook.","__________________________
FÄLSCHUNGEN

Vergewissern Sie sich, daß alle erforderlichen Dokumente über gültige Siegel verfügen. 

Korrelieren Sie fehlende oder falsche Siegel mit den entsprechenden Absätzen des Kapitels DOKUMENTE Ihrer Vorschriften."
"bulletin:13A","The new director is unsatisfied with the level of scrutiny afforded to foreigners.

From today forward, all foreign entrants must present a recent IDENTITY SUPPLEMENT listing weight, height, and appearance.

The rulebook DOCUMENTS chapter has been updated.","der neue Direktor ist der Auffassung, daß Ausländer bislang noch nicht ausreichend überprüft werden.

Ab heute müssen alle einreisewilligen Ausländer einen ANHANG A IDENTITÄT mit Gewicht, Größe und Erscheinungsbild vorlegen.

Das Kapitel DOKUMENTE Ihrer Vorschriften wurde aktualisiert."
"bulletin:14A","The Ministry of Justice has requested our support.

Daily bulletins will now contain a listing of the top 3 most wanted international criminals.

Check faces against entrants and detain suspects immediately.[PAGESNOTE]","das Ministerium für Justiz hat uns um Unterstützung ersucht.

In den Depeschen des Tages werden ab sofort die drei meistgesuchten internationalen Kriminellen aufgeführt.

Vergleichen Sie die dort angeführten Portraits mit allen Einreisenden und lassen Sie alle Verdächtigen umgehend festsetzen.[PAGESNOTE]"
"bulletin:16A","The Ministry of Justice has appropriated the outer guard detail. 

You are now responsible for controlling trespasser activity.

The provided key can be used to unlock the tranquilizer gun once an alarm has been raised.

Continued...[PAGESNOTE]","das Ministerium der Justiz hat uns die Zuständigkeit für den äußeren Sicherheitsstreifen übertragen. 

Ab sofort sind Sie dafür verantwortlich,  auf illegale Grenzübertritte zu achten.

Der Ihnen ausgehändigte Schlüssel dient dazu, die Betäubungspistole aus dem Schrank zu holen, sobald Alarm gegeben wird.

Bitte wenden ...[PAGESNOTE]"
"bulletin:16B","__________________________
COMPENSATION

You will receive a bonus for stopping any trespasser. A smaller bonus is provided for firing on, but missing, your target.

__________________________
WEAPONS PROTOCOL

Review instructional diagram on following page.","__________________________
KOMPENSATION

Für das Vereiteln illegaler Grenzübertritte erhalten Sie einen Bonus. Einen geringeren Bonus erhalten Sie, wenn Sie auf das Ziel schießen, es aber verfehlen.

__________________________
SCHUSSWAFFENGEBRAUCH

Beachten Sie das Diagramm auf der folgenden Seite."
"bulletin:18A","Unfavorable international press has affected immigration protocol.

All denials must be accompanied by a REASON FOR DENIAL stamp.

A new computer inking system has been installed. Interrogate discrepancies to prime the REASON FOR DENIAL stamp.

Continued...","die Kritik der Weltpresse hat Folgen für die Grenzkontrollen.

Alle abgelehnten Einreisegesuche müssen mit einem Stempel mit dem GRUND DER ABLEHNUNG versehen werden.

Ein neues Stempelkissen-System wurde installiert. Ermitteln Sie Diskrepanzen im Verhör, um den Stempel GRUND DER ABLEHNUNG vorzubereiten.

Bitte wenden ..."
"bulletin:18B","__________________________
DENIAL PROTOCOL

REASON FOR DENIAL stamp is activated on first interrogation.

When denying entry, stamp both DENIED and REASON FOR DENIAL on passport.

If applicant clarifies discrepancies sufficiently, approval is authorized even while REASON FOR DENIAL stamp remains available.","__________________________
ABLEHNUNG

Der Stempel GRUND DER ABLEHNUNG wird beim ersten Verhör aktiviert.

Wenn Sie die Einreise verweigern, stempeln Sie ABGELEHNT und GRUND DER ABLEHNUNG in den Paß.

Sollte ein Einreisewilliger die Diskrepanzen hinreichend erklären können, ist eine Genehmigung autorisiert, auch wenn der Stempel GRUND DER ABLEHNUNG verfügbar bleibt."
"bulletin:19A","Impor rejects all imported goods from Arstotzka.

Under request from the Ministry of Trade, the Ministry of Admission will react to this violation.

Deny all travelers from Impor.","Impor hat seine Grenzen für Importe aus Arstotzka geschlossen.

Auf Anfrage des Ministeriums für Handel wird das Ministerium für Grenzschutz auf diese lachhafte Schikane in angemessener Weise reagieren.

Alle Einreisewilligen aus Impor sind abzuweisen."
"bulletin:20A","Impor has relented on their faulty policy.

Imporians are now permitted entry.

The divisional authority of East Grestin operations will visit again today.","Impor hat seine verfehlte Politik korrigiert.

Imporern ist ab sofort wieder die Einreise gestattet.

Heute wird Ihnen die Abteilungsleitung für den Distrikt Ost-Grestin erneut einen Besuch abstatten."
"bulletin:21A","A special program for political asylum has been established.

Those seeking asylum must carry a valid GRANT OF ASYLUM.

Entrants with such a grant do not require an ENTRY PERMIT or an ID SUPPLEMENT.","ein Sonderprogramm für politisches Asyl ist aufgelegt worden.

Asylsuchende müssen einen gültigen ASYLBESCHEID vorlegen.

Einreisende mit einem solchen Bescheid benötigen weder eine EINREISE-GENEHMIGUNG noch einen AUSWEIS-ANHANG."
"bulletin:23A","Your position is important and your responsibilities are broad.

Follow all protocols strictly.","Ihre Position ist wichtig und Ihr Verantwortungsbereich breit gefächert.

Leisten Sie allen Vorschriften uneingeschränkt folge."
"bulletin:24A","Recent events have cast suspicion on the activities of Arstotzkan citizens in the ALTAN district.

The Ministry of Information has requested our cooperation.

A special drawer for confiscating documents has been installed in your booth.

Continued...","jüngste Ereignisse haben zu einem Anfangsverdacht gegen arstotzkanische Bürger und deren Aktivitäten im Distrikt ALTAN geführt.

Das Ministerium für Information hat uns um Kooperation ersucht.

Ihre Kabine wurde mit einer speziellen Schublade für konfiszierte Dokumente versehen.

Bitte wenden ..."
"bulletin:24B","The rulebook has been updated with information regarding confiscation policy.

Confiscate all Arstotzkan passports from residents living in ALTAN district.

Travelers may still be granted entry if passport is confiscated and no other rules are violated.

PASSPORT SEIZURE slips will be issued to allow entry or denial without a passport.","Die Vorschriften wurden um Informationen zum Thema Konfiszierung ergänzt.

Konfiszieren Sie alle arstotzkanischen Pässe von Bewohnern des Distrikts ALTAN.

Reisenden kann immer noch die Einreise gewährt werden, falls der Pass konfisziert wird, aber keine anderen Richtlinien verletzt werden.

PASS-EINZUGSQUITTUNGEN werden ausgestellt, um die Einreise ohne Paß zu genehmigen oder abzulehnen."
"bulletin:25A","United Federation citizens present a risk of spreading infectious disease.

Deny all entrants from United Federation.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Bürger der Vereinigten Föderation stellen ein Infektionsrisiko dar.

Alle Einreisewilligen aus der Vereinigten Föderation sind abzuweisen.

Arstotzkanische Pässe von Bürgern aus dem Distrikt ALTAN sind weiterhin zu konfiszieren."
"bulletin:26A","The risk of disease is too great. A new protocol has been instituted.

All entrants must carry a valid CERTIFICATE OF VACCINATION with an up-to-date POLIO vaccine.

This requirement extends to natives, foreigners, diplomats, and asylum seekers.

Continued...","die Gefahr des Ausbruchs einer Epidemie ist zu groß. Neue Vorschriften sind ab sofort in Kraft.

Alle Einreisewilligen müssen eine gültige IMPF-BESCHEINIGUNG über einen aktuellen POLIO-Impfstoff vorlegen.

Diese Vorschrift betrifft Inländer, Ausländer, Diplomaten und Asylsuchende.

Bitte wenden ..."
"bulletin:26B","United Federation citizens are permitted entry with such certification.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Bürgern der Vereinigten Föderation ist die Einreise mit einer solchen Bescheinigung gestattet.

Arstotzkanische Pässe von Bürgern aus dem Distrikt ALTAN sind weiterhin zu konfiszieren."
"bulletin:27A","In order to improve efficiency, the ENTRY PERMIT and ID SUPPLEMENT have been consolidated into a single ACCESS PERMIT.

Foreigners are now required to present a valid ACCESS PERMIT.

Continued...","zur Steigerung der Effizienz wurden EINREISE-GENEHMIGUNG und AUSWEIS-ANHANG zu einem VISUM zusammengefaßt.

Ausländer müssen ab sofort ein gültiges VISUM vorlegen.

Bitte wenden ..."
"bulletin:27B","Yesterday's coordinated attack has prompted an emergency meeting. 

An important Kolechian negotiator will arrive today to discuss issues at this checkpoint.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Der konzertierte Angriff vom gestrigen Tage  hat eine Krisensitzung notwendig gemacht. 

Ein wichtiger kolechischer Unterhändler wird heute eintreffen, um die Probleme an diesem Grenzübergang zu besprechen.

Arstotzkanische Pässe von Bürgern aus dem Distrikt ALTAN sind weiterhin zu konfiszieren."
"bulletin:28A","In response to continued attacks, the Ministry of Information is expanding the passport confiscation program.

Confiscate all Arstotzkan passports from native entrants.

There are no exceptions.

Do not confiscate foreign passports.","aufgrund der fortwährenden Angriffe weitet das Ministerium für Information die Konfiszierung von Pässen aus.

Alle arstotzkanischen Pässe von Einreisewilligen aus dem Inland sind zu konfiszieren.

Ausnahmen werden nicht gemacht.

Ausländische Pässe sind nicht zu konfiszieren."
"bulletin:29A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] Alle Beamten müssen sich einer eingehenden Befragung unterziehen. Unterstützer und Sympathisanten illegaler Gruppen werden unverzüglich verhaftet.

Ihre Befragung wurde angesetzt für den: 24. DEZEMBER

VERLASSEN SIE NICHT DAS IHNEN ZUGEWIESENE GEBIET.

Bitte wenden ..."
"bulletin:29B","Continue to confiscate all Arstotzkan passports from native entrants.","Arstotzkanische Pässe von Bürgern aus dem Inland sind weiterhin zu konfiszieren."
"bulletin:30A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] Alle Beamten müssen sich einer eingehenden Befragung unterziehen. Unterstützer und Sympathisanten illegaler Gruppen werden unverzüglich verhaftet.

Ihre Befragung wurde angesetzt für den: 24. DEZEMBER

VERLASSEN SIE NICHT DAS IHNEN ZUGEWIESENE GEBIET.

Bitte wenden ..."
"bulletin:30B","Continue to confiscate all Arstotzkan passports from native entrants.","Arstotzkanische Pässe von Bürgern aus dem Inland sind weiterhin zu konfiszieren."
"bulletin:31A","The Ministry of Admission is involved in discussions regarding the closure of this checkpoint.

Until a decision is made, maintain your duties as ordered.

Continued...","das Ministerium für Grenzschutz führt zurzeit Gespräche über die Schließung dieses Grenzübergangs.

Bis eine Entscheidung feststeht, haben Sie Dienst nach Vorschrift.

Bitte wenden ..."
"bulletin:31B","You are scheduled for an information audit tomorrow morning.

DO NOT LEAVE YOUR DESIGNATED REGION.

Continue to confiscate all Arstotzkan passports from native entrants.","Morgen früh werden Sie sich einer eingehenden Befragung unterziehen.

VERLASSEN SIE NICHT DAS IHNEN ZUGEWIESENE GEBIET.

Arstotzkanische Pässe von Bürgern aus dem Inland sind weiterhin zu konfiszieren."
"facts","$paper: Invalid $fact","$paper: Ungültig: $fact"
"facts","Missing $paper","$paper fehlt"
"facts","$0 DISTRICT","$0  DISTRIKT"
"facts","Presence","Anwesenheit"
"facts","Sufficience","Dienst nach Vorschrift"
"facts","Excellence","Hervorragende Arbeit"
"facts","Obristan","Obristan"
"facts","Antegria","Antegrien"
"facts","Republia","Republien"
"facts","UnitedFed","Ver. Föd."
"facts","Impor","Impor"
"facts","Kolechia","Kolechien"
"facts","Arstotzka","Arstotzka"
"facts","Skal","Skal"
"facts","Lorndaz","Lorndas"
"facts","Mergerous","Mergerous"
"facts","St. Marmero","St. Marmero"
"facts","Glorian","Glorian"
"facts","Outer Grouse","Groß-Grouse"
"facts","True Glorian","Glorian Major"
"facts","Lesrenadi","Lesrenadi"
"facts","Bostan","Bostan"
"facts","Great Rapid","Great Rapid"
"facts","Shingleton","Shingleton"
"facts","Korista City","Korista-Stadt"
"facts","Enkyo","Enkyo"
"facts","Haihan","Haihan"
"facts","Tsunkeido","Tsunkeido"
"facts","Yurko City","Jurko-Stadt"
"facts","Vedor","Wedor"
"facts","West Grestin","West-Grestin"
"facts","Orvech Vonor","Orwetsch"
"facts","East Grestin","Ost-Grestin"
"facts","Paradizna","Paradisna"
"facts","Passport","Paß"
"facts","Entry Ticket","Einreisebeleg"
"facts","Entry Permit","Einreise-Genehmigung"
"facts","Work Pass","Arbeitsausweis"
"facts","Id Card","Ausweis"
"facts","Id Supplement","Ausweis-Anhang"
"facts","Access Permit","Visum"
"facts","Diplomatic Auth","Diplomatische Akkreditierung"
"facts","Asylum Grant","Asylbescheid"
"facts","Vaccine Cert","Impf-Bescheinigung"
"facts","Identity Record","Identitätsakte"
"facts","Fingerprints","Fingerabdrücke"
"facts","Name","Name"
"facts","Id Number","Ausweis-Nr."
"facts","Expiration Date","Ablaufdatum"
"facts","Issuing City","Ausstellende Stadt"
"facts","Birth Date","Geburtsdatum"
"facts","Alias","Alias"
"facts","Height","Größe"
"facts","Weight","Gewicht"
"facts","Description","Beschreibung"
"facts","Thumbprint","Daumenabdruck"
"facts","Date","Datum"
"facts","Purpose","Zweck"
"facts","Duration","Dauer"
"facts","Face","Gesicht"
"facts","District","Distrikt"
"facts","Gender","Geschlecht"
"facts","Work End Date","Arbeitsende"
"facts","Altan","Altan"
"facts","Vescillo","Vescillo"
"facts","Burnton","Burnton"
"facts","Octovalis","Octovalis"
"facts","Gennistora","Gennistora"
"facts","Lendiforma","Lendiforma"
"facts","Wozenfield","Wosenfeld"
"facts","Fardesto","Fardesto"
"facts","DENTISTRY","ZAHNMEDIZIN"
"facts","HEALTH-CARE","GESUNDHEIT"
"facts","GENERAL-LABOR","LABOR"
"facts","ENGINEERING","INGENIEURSWESEN"
"facts","SPORTS","SPORT"
"facts","ARCHITECTURE","ARCHITEKTUR"
"facts","FOOD-SERVICE","LEBENSMITTEL"
"facts","AVIATION","LUFTVERKEHR"
"facts","ACCOUNTING","BUCHHALTUNG"
"facts","FISHING","FISCHEREI"
"facts","DRAFTING","GRAFIK-DESIGN"
"facts","RESEARCH","FORSCHUNG"
"facts","FINE-ARTS","SCHÖNE KÜNSTE"
"facts","AGRICULTURE","LANDWIRTSCHAFT"
"facts","MANUFACTURING","PRODUKTION"
"facts","CONSTRUCTION","BAUGEWERBE"
"facts","SURVEYING","VERMESSUNGSKUNDE"
"facts","STATISTICS","STATISTIK"
"facts","POLIO","POLIO"
"facts","HPV","HPV"
"facts","COWPOX","KUHPOCKEN"
"facts","TETANUS","TETANUS"
"facts","YEL.FEV.","GELBFIEBER"
"facts","CHOLERA","CHOLERA"
"facts","RUBELLA","RÖTELN"
"facts","HEP-B","HEP-B"
"facts","MEASLES","MASERN"
"facts","TUBERC.","TUBERK."
"facts","2 DAYS","2 TAGE"
"facts","14 DAYS","14 TAGE"
"facts","1 MONTH","1 MONAT"
"facts","2 MONTHS","2 MONATE"
"facts","3 MONTHS","3 MONATE"
"facts","6 MONTHS","6 MONATE"
"facts","1 YEAR","1 JAHR"
"facts","FOREVER","UNBEGRENZT"
"facts","visit","Besuch"
"facts","transit","Transit"
"facts","work","Arbeit"
"facts","immigrate","Einwanderung"
"facts","Possible Smuggler Admitted","Möglichen Schmuggler durchgewunken"
"facts","Missing documents","Fehlende Dokumente"
"facts","Wanted criminal admitted","Gesuchten Kriminellen durchgewunken"
"facts","Incorrect purpose response","Falsche Antwort auf Zweck"
"facts","Incorrect visit duration response","Falsche Antwort auf Besuchsdauer"
"facts","Passport: Non-matching photo","Paß: Foto paßt nicht"
"facts","Forged Entry Permit","Gefälschte Einreise-Genehmigung"
"facts","Forged Work Pass","Gefälschter Arbeitsausweis"
"facts","Id Card: Non-matching photo","Ausweis: Foto paßt nicht"
"facts","Forged Access Permit","Gefälschtes Visum"
"facts","No Diplomatic Access to Arstotzka","Keine diplomatische Akkreditierung für Arstotzka"
"facts","Forged Diplomatic Auth","Gefälschte diplomatische Akkr."
"facts","Forged Asylum Grant Seal","Gefälschtes Asylbescheid-Siegel"
"facts","Necessary vaccine expired","Notwendige Impfung abgelaufen"
"facts","Missing necessary vaccine","Notwendige Impfung fehlt"
"facts","Name does not match record","Name entspricht nicht den Akten"
"facts","Alias does not match record","Alias entspricht nicht den Akten"
"facts","Fingerprints do not match record","Fingerabdrücke nicht lt. Akten"
"facts","Cobrastan is not a real country","Cobrastan ist kein reales Land"
"facts","No entry from Antegria","Keine Einreise aus Antegrien"
"facts","No entry from Arstotzka","Keine Einreise aus Arstotzka"
"facts","No entry from Republia","Keine Einreise aus Republien"
"facts","No entry from United Fed","Keine Einreise aus der VF"
"facts","No entry from Obristan","Keine Einreise aus Obristan"
"facts","No entry from Impor","Keine Einreise aus Impor"
"facts","No entry from Kolechia","Keine Einreise aus Kolechien"
"facts","Possible Terrorist Admitted","Möglichen Terroristen durchgewunken"
"facts","Entrant Holds Conflicting Passports","Person hat widersprüchliche Pässe"
"facts","Entrant must have a passport","Person muß einen Paß haben"
"facts","Foreigners require an entry permit","Einreise-Genehmig. für Ausländer"
"facts","Foreigners require an entry ticket","Ausländer benötigen einen Einreisebeleg"
"facts","All documents must be current","Alle Dokumente müssen aktuell sein"
"facts","Workers must have a work pass","Arbeiter benötigen einen Arbeitsausweis"
"facts","Citizens must have an id card","Inländer benötigen einen Ausweis"
"facts","Foreigners require an id supplement","Ausländer benötigen Ausweis-Anhang"
"facts","Arstotzkan citizens only","Nur Bürger von Arstotzka"
"facts","No entry from United Federation","Keine Einreise aus der VF"
"facts","No weapons or contraband","Keine Waffen oder Schmugglergut"
"facts","All Kolechians must be searched","Alle Kolechen werden durchsucht"
"facts","Diplomats require authorization","Diplomaten müssen akkreditiert sein"
"facts","Entrant must have polio vaccine cert","Polio-Impf-Bescheinigung nötig"
"facts","Asylum seekers must have a grant","Asylbewerber brauchen Bescheid"
"facts","Foreigners require an access permit","Ausländer brauchen ein Visum"
"facts","CONFISCATE ARSTOTZKAN PASSPORTS BELONGING TO ALTAN RESIDENTS.","KONFISZIEREN SIE ARSTOTZK. PÄSSE VON ALTANERN."
"facts","CONFISCATE ALL ARSTOTZKAN PASSPORTS. NO EXCEPTIONS.","KONFISZIEREN SIE ALLE ARSTOTZKAN. PÄSSE. KEINE AUSNAHMEN."
"facts","Passport not confiscated","Paß nicht konfisziert"
"paper:SecondPassport","West Grestin","West-Grestin"
"paper:Rules","Basic Rules","Grundvorschriften"
"paper:Rules","Regional Map","Karte der Region"
"paper:Rules","Booth Info","Info zur Kabine"
"paper:Rules","Documents","Dokumente"
"paper:Rules","Confiscation","Konfiszierung"
"paper:Rules","Obristan","Obristan"
"paper:Rules","Antegria","Antegrien"
"paper:Rules","Republia","Republien"
"paper:Rules","United","Vereinigte"
"paper:Rules","Federation","Föderation"
"paper:Rules","Impor","Impor"
"paper:Rules","Kolechia","Kolechien"
"paper:Rules","Arstotzka","Arstotzka"
"paper:Rules","ANTEGRIA","ANTEGRIEN"
"paper:Rules","ARSTOTZKA","ARSTOTZKA"
"paper:Rules","IMPOR","IMPOR"
"paper:Rules","KOLECHIA","KOLECHIEN"
"paper:Rules","OBRISTAN","OBRISTAN"
"paper:Rules","REPUBLIA","REPUBLIEN"
"paper:Rules","UNITED FED.","V. FÖDERATION"
"paper:Rules","Id Card (Native)","Ausweis (Inländer)"
"paper:Rules","Entry Permit","Einreise-Genehmigung"
"paper:Rules","Id Supplement","Ausweis-Anhang"
"paper:Rules","Access Permit","Visum"
"paper:Rules","Work Pass","Arbeitsausweis"
"paper:Rules","Diplomatic Auth.","Diplomatische Akkr."
"paper:Rules","Grant of Asylum","Asylbescheid"
"paper:Rules","Vaccine Cert.","Impf-Bescheinigung"
"intro","Congratulations.","Herzlichen Glückwunsch."
"intro","The October labor lottery is complete. Your name was pulled.","Die Arbeitslotterie des Monats Oktober ist abgeschlossen, und Ihr Name wurde gezogen."
"intro","For immediate placement, report to the Ministry of Admission at Grestin Border Checkpoint.","Melden Sie sich umgehend zum Arbeitseinsatz beim Ministerium für Grenzschutz am Grenzübergang Grestin."
"intro","An apartment will be provided for you and your family in East Grestin. Expect a Class-8 dwelling.","Eine Wohnung der Klasse 8 wird Ihnen und Ihrer Familie in Ost-Grestin zur Verfügung gestellt."
"intro","Glory to Arstotzka.","Es lebe Arstotzka."
"end:in-debt","Arstotzka has zero tolerance for delinquency.","Arstotzka toleriert keinen Zahlungsverzug."
"end:in-debt","Your family will be sent back to their village.","Ihre Familie wurde zurück in ihr Dorf geschickt."
"end:in-debt","You are under arrest until your debts are repaid.","Sie stehen unter Arrest, bis Sie Ihre Schulden beglichen haben."
"end:in-debt","A replacement inspector will be found easily.","Es wird ein Leichtes sein, einen Ersatz für Sie zu finden."
"end:in-debt","Glory to Arstotzka.","Es lebe Arstotzka."
"end:family-dead","Your entire family is gone.","Ihre ganze Familie ist verstorben."
"end:family-dead","The Ministry Of Labor focuses on Arstotzka's future growth.","Der Fokus des Ministeriums für Arbeit liegt auf Arstotzkas zukünftigem Wachstum."
"end:family-dead","Workers are expected to support large healthy families.","Arbeiter haben gesunde Großfamilien zu ernähren."
"end:family-dead","Your position will be filled by someone more appropriate.","Ihre Position wird jemandem zugewiesen, der sie besser ausfüllen kann."
"end:family-dead","Glory to Arstotzka.","Es lebe Arstotzka."
"end:turned-over-ezic-docs","You are under arrest for associating with suspicious groups.","Sie stehen wegen Kollaboration mit verdächtigen Gruppen unter Arrest."
"end:turned-over-ezic-docs","The Ministry of Information will perform a full audit of your recent activities.","Das Ministerium für Information wird alle Ihre jüngsten Aktivitäten einer eingehenden Prüfung unterziehen."
"end:turned-over-ezic-docs","Glory to Arstotzka.","Es lebe Arstotzka."
"end:caught-with-ezic-money","The Ministry of Income has discovered an anomaly in your earnings.","Das Ministerium für Einkommen hat Anomalien bei Ihren Bezügen festgestellt."
"end:caught-with-ezic-money","You are under arrest pending a full audit of your recent activities.","Sie stehen so lange unter Arrest bis eine eingehende Untersuchung Ihrer jüngsten Aktivitäten abgeschlossen ist."
"end:caught-with-ezic-money","Your family will likewise be held for questioning.","Ihre Familie wird zwecks Verhör in Sippenhaft genommen."
"end:caught-with-ezic-money","The border will remain open under a replacement inspector.","Die Grenze bleibt unter einem anderen Beamten geöffnet."
"end:caught-with-ezic-money","Glory to Arstotzka.","Es lebe Arstotzka."
"end:killed-innocent","You are under arrest for the murder of an innocent.","Sie stehen wegen des Mordes an einer unschuldigen Person unter Arrest."
"end:killed-innocent","The penalty is death.","Darauf steht die Todesstrafe."
"end:killed-innocent","Your family will be questioned about their involvement.","Ihre Familie wird wegen möglicher Komplizenschaft verhört."
"end:killed-innocent","The border will remain open under a replacement inspector.","Die Grenze bleibt unter einem anderen Beamten geöffnet."
"end:killed-innocent","Glory to Arstotzka.","Es lebe Arstotzka."
"end:tranqed-innocent","You are under arrest for attacking an innocent.","Sie stehen wegen eines Angriffs auf eine unschuldige Person unter Arrest."
"end:tranqed-innocent","The penalty is forced labor.","Darauf steht Arbeitslager."
"end:tranqed-innocent","Your family will be questioned about their involvement.","Ihre Familie wird wegen möglicher Komplizenschaft verhört."
"end:tranqed-innocent","The border will remain open under a replacement inspector.","Die Grenze bleibt unter einem anderen Beamten geöffnet."
"end:tranqed-innocent","Glory to Arstotzka.","Es lebe Arstotzka."
"end:killed-guard","You are under arrest for the murder of an Arstotzkan official.","Sie stehen wegen des Mordes an einem arstotzkanischen Beamten unter Arrest."
"end:killed-guard","The penalty is death.","Darauf steht die Todesstrafe."
"end:killed-guard","Your family will be questioned about their involvement.","Ihre Familie wird wegen möglicher Komplizenschaft verhört."
"end:killed-guard","The border will remain open under a replacement inspector.","Die Grenze bleibt unter einem anderen Beamten geöffnet."
"end:killed-guard","Glory to Arstotzka.","Es lebe Arstotzka."
"end:tranqed-guard","You are under arrest for attacking an Arstotzkan official.","Sie stehen wegen eines Angriffs auf einen arstotzkanischen Beamten unter Arrest."
"end:tranqed-guard","The penalty is death.","Darauf steht die Todesstrafe."
"end:tranqed-guard","Your family will be questioned about their involvement.","Ihre Familie wird wegen möglicher Komplizenschaft verhört."
"end:tranqed-guard","The border will remain open under a replacement inspector.","Die Grenze bleibt unter einem anderen Beamten geöffnet."
"end:tranqed-guard","Glory to Arstotzka.","Es lebe Arstotzka."
"end:killed-target","You are under arrest for the murder of an innocent.","Sie stehen wegen des Mordes an einer unschuldigen Person unter Arrest."
"end:killed-target","The penalty is death.","Darauf steht die Todesstrafe."
"end:killed-target","Your family will be questioned about their involvement.","Ihre Familie wird wegen möglicher Komplizenschaft verhört."
"end:killed-target","The border will remain open under a replacement inspector.","Die Grenze bleibt unter einem anderen Beamten geöffnet."
"end:killed-target","Glory to Arstotzka.","Es lebe Arstotzka."
"end:killed-target","[A note appears from under the cell door]","[Ein Zettel wird unter der Zellentür hindurchgeschoben]"
"end:killed-target","INSPECTOR - FAMILY IS SAFE - TARGET ELIMINATED BUT OTHER PROBLEMS ARISE","INSPEKTOR - FAMILIE IN SICHERHEIT - ZIEL ELIMINIERT, DAFÜR NEUE PROBLEME"
